Année;Nom de l'organisme bénéficiaire;CP;Ville;"Montant
de la subvention de fonctionnement (1)";"Montant
de la subvention d'investissement (1)";"Montant de la garantie
(2)";"Montant du prêt
(3)";"Avantages en nature
(4)"
2018;CHANGE TENNIS DE TABLE;72560;CHANGE;200,00;;;;
2018;CHANT ECOMMOY;72220;ECOMMOY;200,00;;;;
2018;CHANTIER FORMATION INSERTION;72470;CHAMPAGNE;;;14 258,73;;
2018;CHANTIERS HISTOIRE ET ARCHITECTURES MEDIEVALE;75014;PARIS 14EME ARRONDISSEMEN;1 000,00;;;;
2018;CHEMIN DES ARTS;72240;LAVARDIN;2 650,00;;;;
2018;CHEMINS EN YVRE;72530;YVRE L EVEQUE;400,00;;;;
2018;CHEVILLE AU FIL DU TEMPS;72350;CHEVILLE;350,00;;;;
2018;CHOEUR DEPARTEMENTAL DE LA SARTHE;;;;;;;
2018;CHOEUR D ORPHEE;72000;LE MANS;3 100,00;;;;
2018;CHOEUR DE L UNIVERSITE DU MA;72085;LE MANS CEDEX 9;1 000,00;;;;
2018;CHOEUR DEPARTEMENTAL DE LA SARTHE;72000;LE MANS;5 000,00;;;;
2018;CHOEUR GREGORIEN DU MANS;72000;LE MANS;1 000,00;;;;
2018;CHORAL IN SAINT MARS LA BRIE;72470;SAINT MARS LA BRIERE;600,00;;;;
2018;CHORALE AU CLAIR MATIN;72000;LE MANS;300,00;;;;
2018;CHORALE CHANTE L IRE CHATEAU;72500;CHATEAU DU LOIR;150,00;;;;
2018;CHORALE DU VAL D HUISNE;72400;LA FERTE BERNARD;350,00;;;;
2018;CHORALE HARMONIA;72190;SAINT PAVACE;150,00;;;;
2018;CHROMA LE FILM DANS TS SES E CHEZ MME ANNIE SIC;72000;LE MANS;3 400,00;;;;
2018;CIE DES ARCHERS DU BOIS DES;72440;BOULOIRE;350,00;;;;
2018;CINE PHOTO CLUB GEORGES MELI;72360;MAYET;1 900,00;;;;
2018;CINEAMBUL 72;72190;SAINT PAVACE;9 350,00;;;;
2018;CINEMAMERS;72600;MAMERS;2 125,00;;;;
2018;CIRCUIT CYCLISTE DE LA SARTH;72230;MULSANNE;110 000,00;;;;
2018;CIRQUE D ANGES HEUREUX;72440;TRESSON;1 500,00;;;;
2018;CIV ECOLE DE PILOTAGE CONS M;72190;COULAINES;200,00;;;;
2018;CIVAM AD 72;72000;LE MANS;16 250,00;;;;
2018;CLASSIC AUTOMOTIVE M MARCEL CORREIA;72000;LE MANS;10 000,00;;;;
2018;CLCV LE MANS LES SABLONS;72100;LE MANS;150,00;;;;
2018;CLERMONT MAREIL CLUB;72200;CLERMONT CREANS;200,00;;;;
2018;CLUB ALPIN FRANCAIS LE MANS;72100;LE MANS;840,00;;;;
2018;CLUB AMITIES LOISIRS ST PAVA;72190;SAINT PAVACE;150,00;;;;
2018;CLUB ASTRONOMIE UNIVERSITE D  MAINE;72000;LE MANS;300,00;;;;
2018;CLUB BOWL MAINE DE SABLE SOL;72300;SABLE SUR SARTHE;300,00;;;;
2018;CLUB COEUR ET SANTE;72650;ST SATURNIN;1 000,00;;;;
2018;CLUB COLLECTIONSET PASSIONS  DE LOIR;72500;CHATEAU DU LOIR;900,00;;;;
2018;CLUB CYCLISTE CONNERRE;72160;CONNERRE;250,00;;;;
2018;CLUB CYCLISTE MONTABONAIS;72500;MONTABON;150,00;;;;
2018;CLUB CYCLO LOISIRS LE MANS;72100;LE MANS;294,00;;;;
2018;CLUB D ANIMATION MALICORNAIS;72270;MALICORNE SUR SARTHE;150,00;;;;
2018;CLUB D ECHECS DE CHATEAU DU;72500;CHATEAU DU LOIR;200,00;;;;
2018;CLUB DE GYMNASTIQUE  PARIGNEENNE;72250;PARIGNE L EVEQUE;8 379,00;;;;
2018;CLUB DE KARATE DU LUDE;72800;LE LUDE;150,00;;;;
2018;CLUB DE TENNIS DE TABLE TELOCHE;72220;TELOCHE;250,00;;;;
2018;CLUB DE VOILE;72200;LA FLECHE;300,00;;;;
2018;CLUB DES AINES RURAUX LA BRU  SUR LOIR;72500;LA BRUERE SUR LOIR;200,00;;;;
2018;CLUB DES AINES RURAUX MELLER;72320;MELLERAY;150,00;;;;
2018;CLUB DES AMATEURS D ANCIENNE RENAULT;72100;LE MANS;3 650,00;;;;
2018;CLUB DES CHIFFRES ET DES LET;72380;SAINTE JAMME SUR SARTHE;200,00;;;;
2018;CLUB DES ENTREPRISES DU VAL;72210;LA SUZE SUR SARTHE;1 500,00;;;;
2018;CLUB DES RETRAITES DE FILLE  SARTHE;72210;FILLE;300,00;;;;
2018;CLUB GYMNASTIQUE CERANS FOUL;72330;CERANS FOULLETOURTE;150,00;;;;
2018;CLUB GYMNASTIQUE MAROLLES LE  ST CALAIS;72120;MAROLLES LES SAINT CALAIS;150,00;;;;
2018;CLUB HISTOIRE LOCALE J BENOI;72500;CHATEAU DU LOIR;150,00;;;;
2018;CLUB IMAGE MAMERS;72600;MAMERS;150,00;;;;
2018;CLUB JEUNES VIBRAYE HANDBALL;72320;VIBRAYE;200,00;;;;
2018;CLUB LOISIRS AVESSE;72350;AVESSE;175,00;;;;
2018;CLUB LOISIRS LAIGNE ST GERVA;72220;LAIGNE EN BELIN;3 750,00;;;;
2018;CLUB MODELISME FERROVIAIRE DU MANS;72100;LE MANS;350,00;;;;
2018;CLUB NAGEURS DU MANS;72100;LE MANS;4 610,00;;;;
2018;CLUB OLYMPIQUE ROUEZIEN;72140;ROUEZ EN CHAMPAGNE;250,00;;;;
2018;CLUB OMNISPORT DE CORMES;72400;CORMES;250,00;;;;
2018;CLUB OMNISPORTS CHATEAU DU L;72500;MONTVAL SUR LOIR;2 300,00;;;;
2018;CLUB OMNISPORTS LUCHE PRINGE;72800;LUCHE PRINGE;350,00;;;;
2018;CLUB PETANQUE LOUESIEN;72540;LOUE;200,00;;;;
2018;CLUB PHILATELIQUE SILLEEN;72140;SILLE LE GUILLAUME;150,00;;;;
2018;CLUB PONGISTE SPAY;72700;SPAY;250,00;;;;
2018;CLUB QUESTIONS POUR UN CHAMP  DU MANS;72000;LE MANS;300,00;;;;
2018;CLUB RANDO SPORT LOISIRS ROU;72700;ROUILLON;250,00;;;;
2018;CLUB RETRAITES DE COULAINES;72190;COULAINES;250,00;;;;
2018;CLUB RETRO DECALE;72200;LA FLECHE;300,00;;;;
2018;CLUB ROCHER LE MANS;72000;LE MANS;200,00;;;;
2018;CLUB SPORTIF CHANGE;72560;CHANGE;600,00;;;;
2018;CLUB SPORTIF DES CHEMINOTS CSCM;72100;LE MANS;600,00;;;;
2018;CLUB SPORTIF DES CHEMINOTS D MANS;72000;LE MANS;7 546,00;;;;
2018;CLUB SPORTIF MAMERS VOLLEY B;72600;MAMERS;150,00;;;;
2018;CLUB SPORTIF MAMERTIN TENNIS TABLE;72600;MAMERS;150,00;;;;
2018;CLUB SPORTIF SABLONS GAZ FOO;72100;LE MANS;1 000,00;;;;
2018;CLUB SPORTIF SABLONS GAZ VOL  LE MANS CSSG SEC;72100;LE MANS;410,00;;;;
2018;CLUB SPORTIF SABLONS GAZONFI;72100;LE MANS;2 310,00;;;;
2018;CLUB SPORTIF SILLE LE PHILIP;72460;SILLE LE PHILIPPE;200,00;;;;
2018;CLUB SUBAQUATIQUE SABOLIEN;72300;SABLE SUR SARTHE CEDEX;300,00;;;;
2018;CNL AMICALE DE LOCATAIRES DE COULAINES;72190;COULAINES;196,00;;;;
2018;CNVS  CLUB NAUTIQUE DU VAL DE SART;72000;LE MANS;300,00;;;;
2018;COC ATHLETISME;72500;CHATEAU DU LOIR;800,00;;;;
2018;COC CHATEAU DU LOIR  NATATIO;72500;LUCEAU;300,00;;;;
2018;COLLECTIF 507;72000;LE MANS;1 500,00;;;;
2018;COLLECTIF PLAY MODE;72000;LE MANS;500,00;;;;
2018;COLLEGE NOUVELLE CHANCE FONDATION D AUTEUIL;72100;LE MANS;225,00;;;;
2018;COLLEGES ENSEMBLE;72000;LE MANS;1 586,00;;;;
2018;COMICE AGRI CANTON SILLE LE;72140;SILLE LE GUILLAUME;425,00;;;;
2018;COMICE AGRICOLE 2008 ST GERV  EN BELIN;72220;SAINT GERVAIS EN BELIN;850,00;;;;
2018;COMICE AGRICOLE CANT DE MAME;72600;MAMERS;425,00;;;;
2018;COMICE AGRICOLE CANT PONTVAL;72510;PONTVALLAIN;825,00;;;;
2018;COMICE AGRICOLE CANTON DE LA FERTE BERNARD;72400;LA FERTE BERNARD;825,00;;;;
2018;COMICE AGRICOLE CANTON DE TU;72160;TUFFE VAL DE LA CHERONNE;1 025,00;;;;
2018;COMICE AGRICOLE CANTON DU LU;72800;LE LUDE;400,00;;;;
2018;COMICE AGRICOLE CANTON ECOMM;72220;ECOMMOY;425,00;;;;
2018;COMICE AGRICOLE CANTON MAYET;72360;MAYET;400,00;;;;
2018;COMICE AGRICOLE CANTON MONTM;72320;MONTMIRAIL;785,00;;;;
2018;COMICE AGRICOLE CANTON SABLE SARTHE;72300;SABLE SUR SARTHE;425,00;;;;
2018;COMICE AGRICOLE CANTONAL ET RURAL DU CANTON D;72150;LE GRAND LUCE;425,00;;;;
2018;COMICE AGRICOLE LOMBRON 2018;72450;LOMBRON;925,00;;;;
2018;COMICE AGRICOLE RURALITE HAU MAIRIE DANCINNES;72610;ANCINNES;425,00;;;;
2018;COMITE  AMELIORATION PATRIMO COMMUNAL;72400;CORMES;250,00;;;;
2018;COMITE AGRICOLE DU CANTON DE LA FLECHE;72200;LA FLECHE;1 525,00;;;;
2018;COMITE CHALLENGE CYCLISTE PRECIGNE;72300;PRECIGNE;200,00;;;;
2018;COMITE D ANIMATION ET DE LOI;72220;SAINT BIEZ EN BELIN;450,00;;;;
2018;COMITE D ANIMATION OISSEAU L;72610;OISSEAU LE PETIT;150,00;;;;
2018;COMITE D ARCHITECTURE D URBANISME ET ENVIRONN;72000;LE MANS;;;;;X
2018;COMITE D ANIMATION PARIGNE L POLIN;72330;PARIGNE LE POLIN;300,00;;;;
2018;COMITE D ANIMATION ST REMY D SILLE;72140;ST REMY DE SILLE;250,00;;;;
2018;COMITE D ECHANGES INTERNATIO SPORTS LOISIRS CU;72220;MARIGNE LAILLE;250,00;;;;
2018;COMITE DE GESTION DU CENTRE SOCIAL CHAMPAGNE;72470;CHAMPAGNE;3 260,00;;;;
2018;COMITE DE JUMELAGE ANCINNES;72610;ANCINNES;150,00;;;;
2018;COMITE DE JUMELAGE CHEMIRE L  GAUDIN PENGAKRO;72210;CHEMIRE LE GAUDIN;300,00;;;;
2018;COMITE DE JUMELAGE DE RUAUDI;72230;RUAUDIN;300,00;;;;
2018;COMITE DE JUMELAGE ET D ECHA INTERNA COULAINES;72190;COULAINES;492,00;;;;
2018;COMITE DE JUMELAGE MAMERS;72600;MAMERS;300,00;;;;
2018;COMITE DE JUMELAGE ROEZE;72210;ROEZE SUR SARTHE;200,00;;;;
2018;COMITE DE LA BONNE HUMEUR;72430;CHANTENAY VILLEDIEU;1 000,00;;;;
2018;COMITE DE LA GALOCHE MAMERS;72600;MAMERS;150,00;;;;
2018;COMITE DEP CONTRE LE CANCER  LA SARTHE;72000;LE MANS;600,00;;;;
2018;COMITE DEPART CANOE KAYAK 72;72220;SAINT GERVAIS EN BELIN;6 500,00;;;;
2018;COMITE DEPART DE KARATE;72000;LE MANS;2 135,00;;;;
2018;COMITE DEPART DE TWIRLING BA;72560;CHANGE;300,00;;;;
2018;COMITE DEPART MEDAILLES JEUN  FFMJS;72000;LE MANS;830,00;;;;
2018;COMITE DEPART TENNIS DE TABL;72000;LE MANS;30 900,00;;;;
2018;COMITE DEPARTEMANTAL PETANQU;72000;LE MANS;1 000,00;;;;
2018;COMITE DEPARTEMENT DE CYCLOT;72000;LE MANS;4 153,00;;;;
2018;COMITE DEPARTEMENTAL ATHLETI MAISON DEPARTEM;72000;LE MANS;19 880,00;;;;
2018;COMITE DEPARTEMENTAL D AVIRO;72000;LE MANS;500,00;;;;
2018;COMITE DEPARTEMENTAL D ESCRI;72190;NEUVILLE SUR SARTHE;1 300,00;;;;
2018;COMITE DEPARTEMENTAL DE BADM MAISON DEPARTE;M72000;LE MANS;6 970,00;;;;
2018;COMITE DEPARTEMENTAL DE BOXE MAISON DEPARTEM;72000;LE MANS;135,00;;;;
2018;COMITE DEPARTEMENTAL DE CYCL;72000;LE MANS;30 860,00;;;;
2018;COMITE DEPARTEMENTAL DE GOLF;72000;LE MANS;;;;;X
2018;COMITE DEPARTEMENTAL DE GYMN;72000;LE MANS;1 635,00;;;;
2018;COMITE DEPARTEMENTAL DE HOCK;72000;LE MANS;153,00;;;;
2018;COMITE DEPARTEMENTAL DE NATA;72000;LE MANS;3 180,00;;;;
2018;COMITE DEPARTEMENTAL DE RUGB DE LA SARTHE;72000;LE MANS;9 770,00;;;;
2018;COMITE DEPARTEMENTAL DE TENN;72000;LE MANS;11 500,00;;;;
2018;COMITE DEPARTEMENTAL DE TIR;72000;LE MANS;135,00;;;;
2018;COMITE DEPARTEMENTAL DE TRIA;72000;LE MANS;1 635,00;;;;
2018;COMITE DEPARTEMENTAL DE VOIL DE LA SARTHE;72000;LE MANS;2 300,00;;;;
2018;COMITE DEPARTEMENTAL DE VOL;72100;LE MANS;10 000,00;;;;
2018;COMITE DEPARTEMENTAL DE VOLL;72000;LE MANS;270,00;;;;
2018;COMITE DEPARTEMENTAL DES SPO SOUS MARINS SAR;72000;LE MANS;2 700,00;;;;
2018;COMITE DEPARTEMENTAL DU JUDO SARTHOIS;72000;LE MANS;12 230,00;;;;
2018;COMITE DEPARTEMENTAL FOOT AM;72000;LE MANS;180,00;;;;
2018;COMITE DEPARTEMENTAL GOLF SA MAISON DEPARTEM;72000;LE MANS;3 970,00;;;;
2018;COMITE DEPARTEMENTAL HANDISP DE LA SARTHE;72000;LE MANS;11 260,00;;;;
2018;COMITE DEPARTEMENTAL RANDONN;72000;LE MANS;20 530,00;;;;
2018;COMITE DEPARTEMENTAL RETRAIT;72000;LE MANS;270,00;;;;
2018;COMITE DEPARTEMENTAL ROLLER;72000;LE MANS;7 306,00;;;;
2018;COMITE DEPARTEMENTAL SARTHE  MAISON DEPARTEM;72000;LE MANS;35 150,00;;;;
2018;COMITE DEPARTEMENTAL SPORT ADAPTE DE LA SARTH;72000;LE MANS;6 594,00;;;;
2018;COMITE DEPARTEMENTAL TAEKWON DE LA SARTHE;72000;LE MANS;270,00;;;;
2018;COMITE DEPARTEMENTAL UFOLEP;72000;LE MANS;3 000,00;;;;
2018;COMITE DEPARTEMENTAL USEP;72018;LE MANS CEDEX 2;6 800,00;;;;
2018;COMITE DEPARTEMETAL DU JEU E DE LA SARTHE;72500;MONTVAL SUR LOIR;5 800,00;;;;
2018;COMITE DEPARTENTAL  AERONAUT 72;72100;LE MANS;29 000,00;;;;
2018;COMITE DEPT D AIKIDO DE LA SARTHE;72550;CHAUFOUR NOTRE DAME;1 500,00;;;;
2018;COMITE DEPT FEDERATION FRANC DES CLUBS ALPINS;72100;LE MANS;1 770,00;;;;
2018;COMITE DEPT GYMNASTIQUE VOLO;72000;LE MANS;7 810,00;;;;
2018;COMITE DES FETES  DEHAULT;72400;DEHAULT;200,00;;;;
2018;COMITE DES FETES ARCONNAY;72610;ARCONNAY;500,00;;;;
2018;COMITE DES FETES BERUS;72610;BERUS;150,00;;;;
2018;COMITE DES FETES BOESSE LE S;72400;BOESSE LE SEC;330,00;;;;
2018;COMITE DES FETES CONGE SUR O;72290;CONGE SUR ORNE;150,00;;;;
2018;COMITE DES FETES CURES;72240;CURES;150,00;;;;
2018;COMITE DES FETES DE CORMES;72400;CORMES;200,00;;;;
2018;COMITE DES FETES DE COULONGE;72800;COULONGE;300,00;;;;
2018;COMITE DES FETES DE GESNES L GANDELIN;72130;GESNES LE GANDELIN;200,00;;;;
2018;COMITE DES FETES DE LA BRUER LOIR;72500;LA BRUERE SUR LOIR;300,00;;;;
2018;COMITE DES FETES DE MANSIGNE;72510;MANSIGNE;300,00;;;;
2018;COMITE DES FETES DE MAYET;72360;MAYET;300,00;;;;
2018;COMITE DES FETES DE PARCE SU;72300;PARCE SUR SARTHE;1 000,00;;;;
2018;COMITE DES FETES DE SOULITRE;72370;SOULITRE;150,00;;;;
2018;COMITE DES FETES DE ST COSME;72580;SAINT COSME EN VAIRAIS;150,00;;;;
2018;COMITE DES FETES DE TRANGE;72650;TRANGE;450,00;;;;
2018;COMITE DES FETES DISSE SOUS  CHEZ MME CORVAISIE;72800;DISSE SOUS LE LUDE;300,00;;;;
2018;COMITE DES FETES DU BAILLEUL;72200;LE BAILLEUL;500,00;;;;
2018;COMITE DES FETES DU LUART;72390;LE LUART;750,00;;;;
2018;COMITE DES FETES DUNEAU;72160;DUNEAU;200,00;;;;
2018;COMITE DES FETES ET D ORGANI DU COMITE AGRICOL;72330;YVRE LE POLIN;300,00;;;;
2018;COMITE DES FETES ET USA D AV CHEZ M BARTHELEMY;72400;AVEZE;150,00;;;;
2018;COMITE DES FETES GUECELARD;72230;GUECELARD;3 800,00;;;;
2018;COMITE DES FETES MAMERS;72600;MAMERS;988,00;;;;
2018;COMITE DES FETES NEUVILLE;72190;NEUVILLE SUR SARTHE;200,00;;;;
2018;COMITE DES FETES PRUILLE LE  CHETIF;72700;PRUILLE LE CHETIF;200,00;;;;
2018;COMITE DES FETES ROUILLON;72700;ROUILLON;300,00;;;;
2018;COMITE DES FETES SAINT GERMA D ARCE;72800;SAINT GERMAIN D ARCE;300,00;;;;
2018;COMITE DES FETES SARCE;72360;SARCE;400,00;;;;
2018;COMITE DES FETES SAVIGNE L E;72460;SAVIGNE L EVEQUE;500,00;;;;
2018;COMITE DES FETES SOULIGNE SS;72290;SOULIGNE SOUS BALLON;150,00;;;;
2018;COMITE DES FETES ST HILAIRE  LIERRU;72160;TUFFE VAL DE LA CHERONNE;480,00;;;;
2018;COMITE DES FETES ST PAVACE;72190;SAINT PAVACE;150,00;;;;
2018;COMITE DES SPORTS;72250;BRETTE LES PINS;1 200,00;;;;
2018;COMITE DU COMICE AGRICOLE DU CANTON DE ST CALA;72120;SAINT CALAIS;425,00;;;;
2018;COMITE DU FLEURISSEMENT DES FERMES ET MAISONS;72540;TASSILLE;200,00;;;;
2018;COMITE FETES ET LOISIRS RUAU;72230;RUAUDIN;650,00;;;;
2018;COMITE FSGT SARTHE;72700;ALLONNES;150,00;;;;
2018;COMITE JUMELAGE ARNAGE;72230;ARNAGE;500,00;;;;
2018;COMITE JUMELAGE CANTON VIBRA;72320;VIBRAYE;200,00;;;;
2018;COMITE JUMELAGE ET D ECHANGE  DE LA COMM EURO;72220;ECOMMOY;350,00;;;;
2018;COMITE JUMELAGE ETIVAL;72700;ETIVAL LES LE MANS;288,00;;;;
2018;COMITE JUMELAGE SARGE;72190;SARGE LES LE MANS;200,00;;;;
2018;COMITE JUMELAGE SAVIGNE CAIS;72460;SAVIGNE L EVEQUE;150,00;;;;
2018;COMITE JUMELAGE SOMERTON SIL LE GUILLAUME;72140;SILLE LE GUILLAUME;250,00;;;;
2018;COMITE JUMELAGE ST REMY GRAS;72140;SAINT REMY DE SILLE;200,00;;;;
2018;COMITE MAINS D ART;72440;SAINT MICHEL DE CHAVAIGNES;6 700,00;;;;
2018;COMITE NATIONAL PREMIERS DE;93210;ST DENIS;300,00;;;;
2018;COMITE SARTHE MAYENNE DE TAR;72000;LE MANS;500,00;;;;
2018;COMITE SPORTIF DEPARTEMENTAL PECHE AU COUP C;72700;ALLONNES;1 600,00;;;;
2018;COMME A LA MAISON LES PETITE;72240;NEUVY EN CHAMPAGNE;150,00;;;;
2018;COMMUNE LIBRE DU VIEUX MANS;72000;LE MANS;500,00;;;;
2018;COMPAGNIE 7EME ACTE;72000;LE MANS;2 550,00;;;;
2018;COMPAGNIE DE GENS PLURIELS;72000;LE MANS;2 125,00;;;;
2018;COMPAGNIE DU CHEMIN DE FER D SEMUR EN VALLON;72390;SEMUR EN VALLON;1 750,00;;;;
2018;COMPAGNIE DU CIRQUE EXALTE;72100;LE MANS;1 700,00;;;;
2018;COMPAGNIE ENTRE SCENE ET LOI;72340;LA CHARTRE SUR LE LOIR;150,00;;;;
2018;COMPAGNIE EXODUS;72190;SARGE LES LE MANS;200,00;;;;
2018;COMPAGNIE L EVENTAIL;72300;SABLE SUR SARTHE;45 900,00;;;;
2018;COMPAGNIE LA FIDELE IDEE;44300;NANTES;2 000,00;;;;
2018;COMPAGNIE LAMENTO;72000;LE MANS;3 000,00;;;;
2018;COMPAGNIE LILY;72150;COURDEMANCHE;300,00;;;;
2018;COMPAGNIE TDM THEATRE DANSE MUSIQUE;72100;LE MANS;6 800,00;;;;
2018;COMPAGNIE THEADANTCIA SPECTACLES VIVANTS;72230;ARNAGE;300,00;;;;
2018;CONCORDIA NORMANDIE MAINE;72500;THOIRE SUR DINAN;6 420,00;;;;
2018;CONCOURS D ANIMAUX DE VIANDE FETE DES AGRICUL;72600;MAMERS;450,00;;;;
2018;CONFRERIE DU NOUZILLARD LAVE;72500;LAVERNAT;150,00;;;;
2018;CONSEIL LOCAL PARENT ELEVE F COLLEGE BERTHELO;72000;LE MANS;150,00;;;;
2018;CONSEIL LOCAL PARENTS ELEVES COLLEGE TOLSTOI;72000;LE MANS;196,00;;;;
2018;CONSERVATION DU PATRIMOINE;72430;CHANTENAY VILLEDIEU;420,00;;;;
2018;CONSERVATOIRE ESPACES NATURE PAYS DE LA LOIRE;44200;NANTES;10 560,53;6 200,00;;;X
2018;CONTES EN FANF ARTS;72140;ROUESSE VASSE;150,00;;;;
2018;CORIDA D ARNAGE COMITE D ORG;72100;LE MANS;500,00;;;;
2018;CORO FAVORITO;72400;LA FERTE BERNARD;350,00;;;;
2018;CORPS MUSCLES ENTRETIEN DISS SOUS LE LUDE;72800;DISSE SOUS LE LUDE;150,00;;;;
2018;COSSA EPGV GYM VOLONTAIRE;72650;LA CHAPELLE ST AUBIN;200,00;;;;
2018;COUNT FOLK DANSE CHEZ MADAME COLETTE TAVEAU;72220;MARIGNE LAILLE;150,00;;;;
2018;COUP DE THEATRE;72330;CERANS FOULLETOURTE;200,00;;;;
2018;COUPLE FAMILLE ET ADOLESCENC;72000;LE MANS;450,00;;;;
2018;COURGAINS PING PONG;72260;DANGEUL;150,00;;;;
2018;COURIR A LOMBRON;72450;LOMBRON;150,00;;;;
2018;COURIRAULUDE;72800;LE LUDE;250,00;;;;
2018;CPFI CENTRE PATRIMOINE FACTU INSTRUMENTALE;72000;LE MANS;27 000,00;;;;
2018;CRE ART ISTES;72200;LA FLECHE;150,00;;;;
2018;CREATURES COMPAGNIE H JEGAT;72610;FYE;2 890,00;;;;
2018;CREHA OUEST;44800;SAINT HERBLAIN;9 000,00;;;;
2018;CREPSSE CENTRE DE RESSOURCES DES ECOLES PUBL;72500;CHATEAU DU LOIR;150,00;;;;
2018;CRINS VERTS;72200;BAZOUGES CRE SUR LE LOIR;150,00;;;;
2018;CROCS BLANCS SARTHOIS;72440;MAISONCELLES;1 300,00;;;;
2018;CROIX ROUGE FRANCAISE DELEGA DEPARTEMENTALE;72000;LE MANS;14 520,00;;;;X
2018;CROIX ROUGE FRANCAISE DL DU LUDE;72800;LE LUDE;150,00;;;;
2018;CROIX ROUGE FRANCAISE IRFSS  BASSE NORMANDIE A;61000;ALENCON;200,00;;;;
2018;CROIX ROUGE FRANCAISE SABLE SUR SARTHE;72300;SABLE SUR SARTHE;44 000,00;;;;
2018;CRRP SABLE;72303;SABLE SUR SARTHE;;;3 545 957,33;;
2018;CSF LIRE ET COMPRENDRE POUR VIVRE;72200;LA FLECHE;1 389,00;;;;
2018;CSSG ROLLER SKATING;72100;LE MANS;410,00;;;;
2018;CTE JUMEL BONNETABLE TWISTRI;72110;BONNETABLE;200,00;;;;
2018;CULTURE DANS LA VILLE;72700;ALLONNES;3 800,00;;;;
2018;CULTURE ET ARCHEOLOGIE;72610;OISSEAU LE PETIT;850,00;;;;
2018;CULTURE ET BIBLIOTHEQUE POUR  TOUS;72000;LE MANS;750,00;;;;
2018;CULTURE ET BIBLIOTHEQUE POUR TOUS;72190;COULAINES;196,00;;;;
2018;CULTURE ET JUMELAGE;72160;SCEAUX SUR HUISNE;400,00;;;;
2018;CULTURE LOISIRS DOMFRONTAIS;72240;DOMFRONT EN CHAMPAGNE;460,00;;;;
2018;CULTURE LOISIRS MAVIBEL;72000;LE MANS;3 256,00;;;;
2018;CULTURE SPORTS ET LOISIRS  SARGE LES LE MANS;72190;SARGE LES LE MANS;800,00;;;;
2018;CULTURELLE COMMUNES CANTON D SABLE SUR SART;H72300;SABLE SUR SARTHE;2 653,00;;;;
2018;CULTURELLE ET SPORTIVE COULA SUR GEE;72550;COULANS SUR GEE;500,00;;;;
2018;CULTURELLE MANS ANTILLAISE A;72100;LE MANS;500,00;;;;
2018;CULTURELLE POUR JEUNES;72110;BONNETABLE;2 500,00;;;;
2018;CULTURES DU COEUR PAYS DE LA LOIRE;72100;LE MANS;4 000,00;;;;
2018;CYBER LOISIRS;72700;ALLONNES;250,00;;;;
2018;CYCLAMAINE GPE ACTIO CYCL AGG MANCELLE;72000;LE MANS;150,00;;;;
2018;CYCLISTE BELMONTAISE;72170;SAINT MARCEAU;1 550,00;;;;
2018;CYCLO CLUB DE TELOCHE;72220;TELOCHE;400,00;;;;
2018;CYCLO CLUB TUFFEEN;72160;TUFFE VAL DE LA CHERONNE;200,00;;;;
2018;CYCLOTOURISME ET VETETISTES  SILLE LE GUILLAUME;72140;SILLE LE GUILLAUME;150,00;;;;
2018;D UN SIGNE A L AUTRE;72100;LE MANS;1 000,00;;;;
2018;DA CAPO 72;72100;LE MANS;600,00;;;;
2018;DANGEUL YVRE SAVIGNE VOLLEY;72530;YVRE L EVEQUE;1 000,00;;;;
2018;DAUPHINES DU VAL DE LOIR;72500;CHATEAU DU LOIR;300,00;;;;
2018;DE CRINOLINES EN COTILLONS;72160;TUFFE VAL DE LA CHERONNE;225,00;;;;
2018;DE L ART POUR TOUS;72110;BONNETABLE;150,00;;;;
2018;DE L ESPERANCE THERAPEUTIQUE;72120;SAINT CALAIS;300,00;;;;
2018;DECOUVERTE PROMOTION PATRIMO  PATRIMOINE DE P;72340;PONCE SUR LE LOIR;1 650,00;;;;
2018;DEFENSE DES QUARTIERS INONDA;72100;LE MANS;250,00;;;;
2018;DEFENSE DES VICTIMES DE L AMIANTE EN SARTHE;72100;LE MANS;500,00;;;;
2018;DEFENSE DU PATRIMOINE DE ST VINCENT DU LOROUE;72150;ST VINCENT DU LOROUER;350,00;;;;
2018;DEGRE JEUNESSE SPORTIVE TENN  DE TABLE;72550;DEGRE;150,00;;;;
2018;DEMAND EMPLOI ET PRECAIRE AR ENVIRON DEPAR;72230;ARNAGE;375,00;;;;
2018;DEPORTES INTERNES RESISTANTS;72100;LE MANS;150,00;;;;
2018;DES CHENES ET VOUS LA FLECHE;72200;LA FLECHE;250,00;;;;
2018;DES DIABETIQUES DE LA SARTHE;72037;LE MANS CEDEX;100,00;;;;
2018;DES FOURMIS DANS LES JAMBES;72650;LA BAZOGE;150,00;;;;
2018;DES LEZARTIKALS;72100;LE MANS;1 700,00;;;;
2018;DES LYRES DE HAUTE SARTHE;72130;GESNES LE GANDELIN;600,00;;;;
2018;DES PETITS LUTINS DE ST AUBI;72650;LA CHAPELLE SAINT AUBIN;250,00;;;;
2018;DES VIEILLES MECANIQUES DU M;72140;PEZE LE ROBERT;300,00;;;;
2018;DESAMIS DU MOULIN DE ROBERT VAAS;72500;VAAS;350,00;;;;
2018;DETENT DANSE;72450;MONTFORT LE GESNOIS;150,00;;;;
2018;DETENTE OLIVIER HEUZE GYMNASTIQUE VOLONTAIRE;72000;LE MANS;200,00;;;;
2018;DIFFERENTS ET ENSEMBLE;72000;LE MANS;1 196,00;;;;
